first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_3;ALG_catch24_kmeans_5;ALG_catch24_kmeans_7;ALG_naive_kmeans_2;ALG_naive_kmeans_3;ALG_naive_kmeans_5;ALG_naive_kmeans_4;ALG_catch24_kmeans_2_r;ALG_catch24_kmeans_3_r;ALG_catch24_kmeans_5_r;ALG_catch24_kmeans_7_r
2019-02-19 01:33:00+00:00;2019-02-19 01:52:00+00:00;0 days 00:19:00;slice(Timestamp('2019-02-19 01:33:00+0000', tz='UTC'), Timestamp('2019-02-19 01:52:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-19 03:06:00+00:00;2019-02-19 03:26:00+00:00;0 days 00:20:00;slice(Timestamp('2019-02-19 03:06:00+0000', tz='UTC'), Timestamp('2019-02-19 03:26:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-19 04:38:00+00:00;2019-02-19 04:56:30+00:00;0 days 00:18:30;slice(Timestamp('2019-02-19 04:38:00+0000', tz='UTC'), Timestamp('2019-02-19 04:56:30+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-19 06:08:30+00:00;2019-02-19 06:26:30+00:00;0 days 00:18:00;slice(Timestamp('2019-02-19 06:08:30+0000', tz='UTC'), Timestamp('2019-02-19 06:26:30+0000', tz='UTC'), None);1;2;4;0;0;0;0;0;1;2;4;0
2019-02-19 07:38:30+00:00;2019-02-19 07:57:00+00:00;0 days 00:18:30;slice(Timestamp('2019-02-19 07:38:30+0000', tz='UTC'), Timestamp('2019-02-19 07:57:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-19 09:06:00+00:00;2019-02-19 09:25:00+00:00;0 days 00:19:00;slice(Timestamp('2019-02-19 09:06:00+0000', tz='UTC'), Timestamp('2019-02-19 09:25:00+0000', tz='UTC'), None);1;2;4;0;0;0;0;0;1;2;4;0
2019-02-19 10:30:30+00:00;2019-02-19 10:50:30+00:00;0 days 00:20:00;slice(Timestamp('2019-02-19 10:30:30+0000', tz='UTC'), Timestamp('2019-02-19 10:50:30+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-19 10:52:00+00:00;2019-02-19 10:53:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-19 10:52:00+0000', tz='UTC'), Timestamp('2019-02-19 10:53:30+0000', tz='UTC'), None);0;0;2;5;0;2;2;2;0;0;2;5
2019-02-19 11:48:30+00:00;2019-02-19 12:08:30+00:00;0 days 00:20:00;slice(Timestamp('2019-02-19 11:48:30+0000', tz='UTC'), Timestamp('2019-02-19 12:08:30+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-19 12:37:30+00:00;2019-02-19 12:54:30+00:00;0 days 00:17:00;slice(Timestamp('2019-02-19 12:37:30+0000', tz='UTC'), Timestamp('2019-02-19 12:54:30+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-19 13:19:30+00:00;2019-02-19 13:25:30+00:00;0 days 00:06:00;slice(Timestamp('2019-02-19 13:19:30+0000', tz='UTC'), Timestamp('2019-02-19 13:25:30+0000', tz='UTC'), None);0;0;3;2;0;0;4;0;0;0;3;2
2019-02-19 13:33:30+00:00;2019-02-19 13:56:00+00:00;0 days 00:22:30;slice(Timestamp('2019-02-19 13:33:30+0000', tz='UTC'), Timestamp('2019-02-19 13:56:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-19 14:33:30+00:00;2019-02-19 17:26:30+00:00;0 days 02:53:00;slice(Timestamp('2019-02-19 14:33:30+0000', tz='UTC'), Timestamp('2019-02-19 17:26:30+0000', tz='UTC'), None);1;1;1;3;0;0;3;3;1;1;1;3
